hotel_name,reviewer_name,reviewer_url,reviewer_location,reviewer_reviewdate,reviewer_helpful_name,reviewer_title,reviewer_detail,reviewer_datestay,reviewer_triptype,reviewer_user_rating,,overall_hotelrating,overallrating_location,overallrating_cleaniness,overallrating_service,overallrating_value,,Region,Address,Phone No.
The Fullerton Bay Hotel Singapore,Vicky Low,https://www.tripadvisor.com.sg/Profile/Twinkie228,"Singapore, Singapore",Vicky Low wrote a review 7 Nov,6 contributions,High tea at Landing point,"High tea at the landing point made special by service staff Maria, Lotha, Emma.
Great view of Marina bay .
Good selection of beverages.
Bite size finger food very suitable.
An relaxing and enjoyable afternoon.",Date of stay: November 2020,,4,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,allrise841,https://www.tripadvisor.com.sg/Profile/allrise841,singapore,allrise841 wrote a review 7 Nov,6 contributions,Unpleasant Staycation,"This 5 stars hotel doesn't get my recognition. First, check in was late for 45mins. Everyone who check in later then us get their room. Was told the room is still cleaning in progress and that other customers room are different. How different can a Deluxe and Premier room be that they need longer time to clean. Though Manager offer complimentary dine-in and late check out as part of compensation, the food is ONLY Warm and not hot for Steak and Lobster Roll. As breakfast is no longer in buffet style, I understand the slight delay in serving. However, got to wait another 40 mins for a bowl of laska is unacceptable. And best part, I'm the first to arrive and order, but again, the last to get the dish while others gotten their laska again first when they came later.. Waited 40mins…",Date of stay: November 2020,Trip type: Travelled as a couple,1,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Wombatsie,https://www.tripadvisor.com.sg/Profile/Wombatsie,,Wombatsie wrote a review 6 Nov,1 contribution,Landing point hi tea,Had a blast time here.. kudos to Daniel and his team for their impeccable service that was given to us.... Will definitely come back again... hope it won't be a long wait as we booked this 1 month ago.,Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Celestine,https://www.tripadvisor.com.sg/Profile/Celestine90,,Celestine wrote a review 6 Nov,1 contribution,The landing point - Afternoon Tea with Chef Audra,"Attentive service from the staff at the landing point. Throughout the afternoon tea, Lotha and Mavie made sure we had sufficient food. Special thanks to Lotha who took note of our dietary restrictions (as we do not take beef and have shell fish allergies). Thank you! However, the usual food selection is wider compared to the current menu. Do hope to come back again then!",Date of stay: November 2020,,4,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Jeremy Lim,https://www.tripadvisor.com.sg/Profile/Jeremylim2188,,Jeremy Lim wrote a review 6 Nov,1 contribution,Great food and service,Lotta and mavie were excellent. They were attentive and provided very good service and made our visit very pleasant. Overall we’re very pleased with the experience and will recommend others to visit. Reservations are required,Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Jolimxp,https://www.tripadvisor.com.sg/Profile/Jolimxp,,Jolimxp wrote a review 6 Nov,1 contribution,Landing point,"Good service from Lotha. Lovely afternoon with good ambience. MBS as backdrop if u ask for window seat.
Love the afternoon tea set especially the chili crab buns and sweet dessert.
Lovely coffee and teas.",Date of stay: November 2020,,4,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Xinyi,https://www.tripadvisor.com.sg/Profile/Xinyiaudrey,,Xinyi wrote a review 5 Nov,2 contributions,Great ambience with delicious food,"The ambience was great for gathering with friends. Despite being very busy and occupied, the staff, Daniel and Ruth, were very attentive and try their best to accommodate and deliver our requests as soon as they are able to. I will definitely come again and recommend to my family and friends.",Date of stay: November 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,DG2917,https://www.tripadvisor.com.sg/Profile/DG2917,,DG2917 wrote a review 4 Nov,2 contributions,A Charisma-tic Brunch Experience,"It was not the first time for me dining in Clifford Pier at the Fullerton Bay Hotel. I enjoyed the Heritage Brunch very much and decided to visit again last Sunday with my Husband. It was his first time. The food quality and ambience is always a five star experience but this visit of mine turned into a six star visit due to the attentiveness by F&B colleague, Ms Charisma.
She has been very accommodating to our needs, constantly checking our table if we needed extra food and even took initiative to introduce the Preferred membership to me. Her every visit to our table was very consistent yet not robotic. She made us feel very exclusive and this is what the Clifford Pier dining experience should be like. Before I left the restaurant, I even took the initiative to ask for means on how to write a review for Charisma. Well done and keep up the good work there! You bring the spirit of hospitality to life.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Liz,https://www.tripadvisor.com.sg/Profile/Lizymy,,Liz wrote a review 4 Nov,1 contribution,"Amazing food, nice ambience and attentive staff!",Came here during restaurant week to celebrate a hen's night. The food was delicious and filling! Setting was lovely with the window view and staff (Daniel and Rose) were attentive. Overall a wondeful experience.,Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,sg-citygirl,https://www.tripadvisor.com.sg/Profile/sg-citygirl,,sg-citygirl wrote a review 2 Nov,8 contributions,Fantastic Service and Ambience,"Free flow of food and coffee/ drinks, which is uncommon compared to other high tea places. Food is average though.
Excellent service excellent view excellent ambience. Oh and Daniel gives impeccable service *thumbs up*",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,sg-citygirl,https://www.tripadvisor.com.sg/Profile/sg-citygirl,,sg-citygirl wrote a review 2 Nov,2 helpful votes,Fantastic Service and Ambience,"Free flow of food and coffee/ drinks, which is uncommon compared to other high tea places. Food is average though.
Excellent service excellent view excellent ambience. Oh and Daniel gives impeccable service *thumbs up*",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,weeyee,https://www.tripadvisor.com.sg/Profile/weeyee,"Singapore, Singapore",weeyee wrote a review 2 Nov,11 contributions,Lovely place for high tea!,"Had a leisurely high tea, friend didn't turn up but still had a great time.
The location is lovely, view was outstanding. Food is above average quality and great presentation. Service is excellent. Would highly recommend and return again!",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,weeyee,https://www.tripadvisor.com.sg/Profile/weeyee,"Singapore, Singapore",weeyee wrote a review 2 Nov,10 helpful votes,Lovely place for high tea!,"Had a leisurely high tea, friend didn't turn up but still had a great time.
The location is lovely, view was outstanding. Food is above average quality and great presentation. Service is excellent. Would highly recommend and return again!",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,nfarisha,https://www.tripadvisor.com.sg/Profile/nfarisha,,nfarisha wrote a review 1 Nov,2 contributions,Afternoon Tea at The Landing Point,"Service rendered by Daniel was excellent. Knowing that we are Muslims, he ensured that we had food that are no pork no lard. Constantly asking if we need a refill of the food or drink. Food was delicious and worth the price. Hope to return here again.",Date of stay: November 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Irene Cay,https://www.tripadvisor.com.sg/Profile/IreneCay24,,Irene Cay wrote a review 1 Nov,1 contribution,Birthday Afternoon Tea,"^^Celebrating my best friend’s birthday. Always love coming here for special occasions & festive gathering.
For sure to come back again. :)
Thank you so much Daniel & team for the wonderful time! Hugs !",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,GeriT,https://www.tripadvisor.com.sg/Profile/GeriTTTTT,,GeriT wrote a review 1 Nov,1 contribution,Lovely Afternoon Tea,"Had a wonderful time here celebrating my birthday over afternoon tea.
Complimentary cake was given w their staff singing a birthday song!
View is scenic, food is tasty, staff service is tiptop
Daniel has been so awesome!
Team at the landing point - kuddos!",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Nai Ying,https://www.tripadvisor.com.sg/Profile/sunsethighway_,,Nai Ying wrote a review Oct 2020,1 contribution,Le Brunch By The Bay,"Celebrated the Husband's birthday at La Brasserie (thank you for the cake & card with a photo of us) and we are very impressed with the service provided, especially from Chat Yin and Ida. Food standard was also up to standard. We'll be back (:",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,LitingTan,https://www.tripadvisor.com.sg/Profile/litingt28,"Singapore, Singapore",LitingTan wrote a review Oct 2020,2 contributions,"Excellent service from Daniel,Ruth, Tyson","First time experience and really enjoyed with the service from the staff here and also the food here are really awesome. They also gave served cake for my friends' birthday, appreciated for the special request.",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Ivian,https://www.tripadvisor.com.sg/Profile/Ivianng,,Ivian wrote a review Oct 2020,3 contributions,Great experience,"Had our high tea session with my friends and my boy. We enjoyed ourselves very much. The experience was great, there was no moment of dullness for all of us. My boy gets toy and ice cream from the staff. We got a photo and a birthday cake. Thumbs up for the great experience, it’s not just bout eating!",Date of stay: November 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Ivian,https://www.tripadvisor.com.sg/Profile/Ivianng,,Ivian wrote a review Oct 2020,4 helpful votes,Great experience,"Had our high tea session with my friends and my boy. We enjoyed ourselves very much. The experience was great, there was no moment of dullness for all of us. My boy gets toy and ice cream from the staff. We got a photo and a birthday cake. Thumbs up for the great experience, it’s not just bout eating!",Date of stay: November 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Ami,https://www.tripadvisor.com.sg/Profile/amikomari,,Ami wrote a review Oct 2020,2 contributions,High Tea by Chef Audra at Fullerton Bay Hotel,"Celebrated my boyfriend’s birthday and Daniel / Marvie Ruth went above and beyond and made us feel so welcomed and at home! The selection was delicious and the savouries and drinks were replenishable. At the end of it, they gifted us with a printed picture they took of us earlier together with a lovely note. The fond memories of today will definitely make us returning customers! ❤️",Date of stay: November 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,rochellej155,https://www.tripadvisor.com.sg/Profile/rochellej155,,rochellej155 wrote a review Oct 2020,3 contributions,Birthday high tea at The Landing Point,"Had a fantastic Saturday afternoon celebrating birthday at The Landing Point. Was hosted by Daniel, Maria, and Emma - service was warm and superb. Food was delicious and the ambiance was great. We will definitely be back here again!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Joshua Tan,https://www.tripadvisor.com.sg/Profile/Joshuatda,,Joshua Tan wrote a review Oct 2020,3 contributions,ROM,I just held my solemnisation ceremony and am very impressed with the service and attention rendered by Nicholas. He definitely went above and beyond in solving my problems. David and Kui Taah on the team was exceptional too.,Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,clementalice,https://www.tripadvisor.com.sg/Profile/clementalice,"Singapore, Singapore",clementalice wrote a review Oct 2020,6 contributions,Excellent Service,"Celebrated my wife birthday at the La Brasserie.
We were not disappointed with the food, services and ambience.
Especially great service by Ida and Leah.
Highly recommend this restaurant to spend with your love ones.
Thank you for a wonderful afternoon.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,clementalice,https://www.tripadvisor.com.sg/Profile/clementalice,"Singapore, Singapore",clementalice wrote a review Oct 2020,2 helpful votes,Excellent Service,"Celebrated my wife birthday at the La Brasserie.
We were not disappointed with the food, services and ambience.
Especially great service by Ida and Leah.
Highly recommend this restaurant to spend with your love ones.
Thank you for a wonderful afternoon.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,KFT,https://www.tripadvisor.com.sg/Profile/KFTan369,,KFT wrote a review Oct 2020,1 contribution,"High tea at The Landing Point, Fullerton Bay","Great experience and nice food, we love the savouries. Excellent service from Lotha and Mavie in helping us with the reservation at short notice and the attentive service throughout. We got a seat with a very good view of MBS.",Date of stay: October 2020,Trip type: Travelled as a couple,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Sophia Y,https://www.tripadvisor.com.sg/Profile/jnruggles,,Sophia Y wrote a review Oct 2020,1 contribution,Great dining experience,"Food is good (authentic and delicious) and spacious dining area. Classy design with nice background music. The personnel who served us, Alan and Cristina, were attentive to our needs. Would to come here again",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Siti,https://www.tripadvisor.com.sg/Profile/askmssiti,,Siti wrote a review Oct 2020,5 contributions,Great food with great service,Came here during Restaurant Week. The venue is lovely and it is nice place to spend some time there. Food was good. I enjoyed the salad and the mushroom risotto was great. Special mention to our servers Alan and Cristina who were very personable and prompt.,Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Lasting Wander,https://www.tripadvisor.com.sg/Profile/LastingWander,Singapore,Lasting Wander wrote a review Oct 2020,308 contributions,Superb Views and Excellent Service,"We had initially booked the Bay View Corner Room. But upon check-in, we were given a complimentary upgrade to the Anderson Suite, one of 5 Theme Suites that the hotel has. This was a pleasant surprise. The Suite was impeccably furnished and maintained and was very spacious. It came with a separate living area, king-sized bed, and a bathtub (with its own television). The outstanding thing about the room are its eye-catching views of the Marina Bay.
I strongly recommend a visit to the outdoor rooftop pool at night to relax and soak up the fantastic night views of the skyline.
Service throughout the hotel was excellent as well. A special shoutout to Amanda, who took good care of us and even arranged for some gifts when she found out that we were celebrating a special occasion at the hotel. Its things like these that set the exceptional hotels apart from the others.
We enjoyed the staycation and highly recommend this hotel!",Date of stay: August 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Lasting Wander,https://www.tripadvisor.com.sg/Profile/LastingWander,Singapore,Lasting Wander wrote a review Oct 2020,25 helpful votes,Superb Views and Excellent Service,-''-,Date of stay: August 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Caleb,https://www.tripadvisor.com.sg/Profile/CalebSG666,,Caleb wrote a review Oct 2020,3 contributions,Anniversary Celebration,"One of the best Singapore iconic view.
Services are excellent & charming. (Specially on Katrina, Anna, Haizul)
Outdoor environment just nice, not too hot nor too windy.
Price was totally in acceptable range.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,millietan,https://www.tripadvisor.com.sg/Profile/millietan,"Singapore, Singapore",millietan wrote a review Oct 2020,27 contributions,Wonderful experience! Is The People That Makes This Hotel A Difference!,"Impromptu staycation at Fullerton Bay Hotel. Thank you to the door man (sorry that I didn't manage to catch your name) for not turning us away when we happened to drop by to request to find out more on the facilities. Special thanks to Ummar for showing us around that turned out to be the best decision to go with Fullerton Bay Hotel for our staycation :) A big thank you to all the wonderful people for making our stay a welcoming one with personal touch. The premier room with jacuzzi is luxurious and clean. We had fun soaking in the water. Tho bath tub, water closet and standing shower is separate, I wish that the water closet would come with a bidet 😅 And wish your tablet has more options to allow us to call for room service ie. Additional mineral water, or firm pillows…",Date of stay: October 2020,Trip type: Travelled as a couple,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,millietan,https://www.tripadvisor.com.sg/Profile/millietan,"Singapore, Singapore",millietan wrote a review Oct 2020,1 helpful vote,Wonderful experience! Is The People That Makes This Hotel A Difference!,-''-,Date of stay: October 2020,Trip type: Travelled as a couple,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Jolyn,https://www.tripadvisor.com.sg/Profile/Jolynnickole,,Jolyn wrote a review Oct 2020,2 contributions,High tea with family,"My first high tea experience was really excellent . The service crew ( Daniel, Zool and Tyson) provided was top notched. They were very attentive to our every request. The sweet and savoury bites were also very delicious!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Yianling,https://www.tripadvisor.com.sg/Profile/Yianling,,Yianling wrote a review Oct 2020,2 contributions,Afternoon tea at fullerton,We had a lovely afternoon celebration at the landing point. The food was great and daniel and idrus serving our tables made sure everything was on point from warmed scones to tea pot always filled. Will definitely be back again,Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,G C,https://www.tripadvisor.com.sg/Profile/krayzkrab,"Singapore, Singapore",G C wrote a review Oct 2020,3 contributions,Memorable birthday staycation,"Firstly we are very impressed by the warmth and service of the staff who made our 1 night stay at the Premier Bay View Room with Jacuzzi very memorable and enjoyable! The room with the view and the jacuzzi is a comfortable and luxurious place to just relax, chill and do nothing!
Shout-out to Unmar, Asenth, Oliver, Maria, Manjit and all the staff who made our short stay a special one!
Without Asenth and Unmar's graciousness to entertain our request to learn more about the hotel and room and not turned us away when we walked in 3 weeks ago, we would have probably not booked the room on the spot that very night!
Special mention to Manjit and staff at the Gin Parlour who made sure we were very well taken care of when we were there!
Thank you for making it a fantastic and memorable stay for my wife and me!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Medina B,https://www.tripadvisor.com.sg/Profile/Medinabaledram,,Medina B wrote a review Oct 2020,5 contributions,Fantastic staycation at The Fullerton Bay.,"To celebrate my 26th birthday, my husband had booked a 4 days, 3 night staycation at The Fullerton Bay Hotel Singapore. We had a wonderful stay. The breakfast was fantastic, the room was beautiful and the hotel was very luxurious. We would personally like to thank Oliver, Yugen, Amanda, Ice and all the staff we have encountered. Their service and their eagerness to helped had made my birthday a very special one. All staff was detail-oriented and truly made the stay enjoyable. We will surely come back again! Thank you!!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Kym Cheng,https://www.tripadvisor.com.sg/Profile/kymcheng,"Singapore, Singapore",Kym Cheng wrote a review Oct 2020,12 contributions,Birthday staycation,"I'm impressed by spacious room with beautiful bay view sight. Room amenties & minibars are well replenished. Upon arrival was greeted us as Mr & Mrs Wong by warm smiling face Bellman Asenth to do safe entry & temperature. Escorted by friendly Concierge Oliver & smiling face Front Desk Amanda. Attentive good service staff Ida from La Brasserie when we are having our breakfast. Received surprise birthday amenities from friendly Alvin, specially Thong who had make the arrangements.. Friendly voice from Duty Manager Maria to ensure our request has delivery promptly.. I would like to say a big THANK YOU to all staffs... you have made my day great! Will recommend my friends & come back to this beautiful place...",Date of stay: October 2020,Trip type: Travelled with family,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Kym Cheng,https://www.tripadvisor.com.sg/Profile/kymcheng,"Singapore, Singapore",Kym Cheng wrote a review Oct 2020,2 helpful votes,Birthday staycation,-''-,Date of stay: October 2020,Trip type: Travelled with family,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Foong Gwan,https://www.tripadvisor.com.sg/Profile/fglee,"Singapore, Singapore",Foong Gwan wrote a review Oct 2020,19 contributions,High tea,"Awesome crew, ambience and food. Thanks to Daniel, Ruth, Tyson and Xin Rong and also the reservation team who gotten us best seat. Definitely recommended. The crew had offered spontenously to celebrate my sis birthday with a slice of cake and sang birthday song too! Kuddos to the team! Keep it up :)",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Foong Gwan,https://www.tripadvisor.com.sg/Profile/fglee,"Singapore, Singapore",Foong Gwan wrote a review Oct 2020,1 helpful vote,High tea,"Awesome crew, ambience and food. Thanks to Daniel, Ruth, Tyson and Xin Rong and also the reservation team who gotten us best seat. Definitely recommended. The crew had offered spontenously to celebrate my sis birthday with a slice of cake and sang birthday song too! Kuddos to the team! Keep it up :)",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Downtownmom,https://www.tripadvisor.com.sg/Profile/Downtownmom1,,Downtownmom wrote a review Oct 2020,3 contributions,Best service!,I went to La brasserie and got the best sevice from Sunny. I had the best onion soup and the best bugger! The taste and quality of our food were great. I really appreciated to Sunny and I definately visit La brasserie again.,Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Pathappy,https://www.tripadvisor.com.sg/Profile/Pathappy,,Pathappy wrote a review Oct 2020,3 contributions,Pink High Tea At The Landing Point,"My friends and I enjoyed the high tea experience at the Landing Point. Right from the start, we received great service from the staff. Everyone was so polite and professional. Special mention to Daniel who was so accommodating to our requests. Food was great and service was excellent!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Pathappy,https://www.tripadvisor.com.sg/Profile/Pathappy,,Pathappy wrote a review Oct 2020,2 helpful votes,Pink High Tea At The Landing Point,"My friends and I enjoyed the high tea experience at the Landing Point. Right from the start, we received great service from the staff. Everyone was so polite and professional. Special mention to Daniel who was so accommodating to our requests. Food was great and service was excellent!",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Ssw,https://www.tripadvisor.com.sg/Profile/Ssw9090,,Ssw wrote a review Oct 2020,2 contributions,Dinning,"Excellent service and good food and cosy environment. Enjoy the people and the services.
Impressed with 3 course meal and the matched wine along with the course.
Very pleasant experiences and enjoyed thw time spenting at here.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Marilyn,https://www.tripadvisor.com.sg/Profile/Mehlinchan,,Marilyn wrote a review Oct 2020,1 contribution,High Tea with Friends,"Savouries & sweets were both good. Particulatly enjoyed the pandan lamington, salmon bagel and beetroot pastry. Service & ambience were amazing as well. Daniel was super friendly and kept topping up our plates!",Date of stay: October 2020,Trip type: Travelled with friends,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Joy,https://www.tripadvisor.com.sg/Profile/fallingbeforeflying,Singapore,Joy wrote a review Oct 2020,10 contributions,Afternoon High Tea,"Wonderful selection of savouries and sweets. Could also opt for multiple portions of savouries as well. Thanks Daniel for your thoughtful and cheerful service! Perfect day out with the girls', would definitely come back again :)",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,Joy,https://www.tripadvisor.com.sg/Profile/fallingbeforeflying,Singapore,Joy wrote a review Oct 2020,1 helpful vote,Afternoon High Tea,"Wonderful selection of savouries and sweets. Could also opt for multiple portions of savouries as well. Thanks Daniel for your thoughtful and cheerful service! Perfect day out with the girls', would definitely come back again :)",Date of stay: October 2020,,5,,,,,,,,Raffles,,
The Fullerton Bay Hotel Singapore,CHEW,https://www.tripadvisor.com.sg/Profile/CarlynQiu,,CHEW wrote a review Oct 2020,2 contributions,Lovely high tea with great service n a view,"Celebrated my birthday here with weekend high tea. Food was really exquisite and yummy especially the sweet items. Excellent service with attentive staff. Love the house blend coffee. Special compliments to Lotha, Ruth and XinRong for the excellent service and birthday surprise! The view was lovely on a Sunday afternoon. Will definitely visit again.",Date of stay: October 2020,,5,,,,,,,,Raffles,,
